City,Price,Beds,Baths,Sqft,Address,Link
Florida,"$632,490",5 beds,3 baths,"2,502 sq ft","22513 SW 125 Ave Unit B, Miami, FL 33030",N/A
Florida,"$625,000",1 bed,1 bath,816 sq ft,"475 Brickell Ave #3512, Miami, FL 33131",N/A
Florida,"$719,000",2 beds,2 baths,"1,255 sq ft","690 SW 1st Ct #3116, Miami, FL 33130",N/A
Florida,"$423,000",2 beds,2 baths,"1,223 sq ft","5750 NW 5th Ave, Miami, FL 33127",N/A
Florida,N/A,N/A,N/A,N/A,N/A,N/A
Florida,"$269,000",2 beds,2 baths,900 sq ft,"2415 NW 16th Street Rd Unit 407-1, Miami, FL 33125",N/A
Florida,"$632,490",5 beds,4 baths,"2,518 sq ft","22509 SW 125 Ave Unit A, Miami, FL 33170",N/A
Florida,"$995,000",4 beds,2 baths,"1,834 sq ft","21551 SW 187th Ave, Miami, FL 33187",N/A
Florida,"$3,200,000",3 beds,3.5 baths,"2,289 sq ft","92 SW 3rd St #5204, Miami, FL 33130",N/A
Florida,"$295,000",2 beds,2 baths,893 sq ft,"995 SW 84th Ave #126, Miami, FL 33144",N/A
Florida,"$641,990",5 beds,4 baths,"2,518 sq ft","22553 SW 125 Ave Unit A, Miami, FL 33170",N/A
Florida,"$465,000",2 beds,1.5 baths,"1,057 sq ft","275 NE 18th St #1705, Miami, FL 33132",N/A
Florida,"$2,575,000",2 beds,3.5 baths,"2,580 sq ft","1643 Brickell Ave #1004, Miami, FL 33129",N/A
Florida,"$1,749,000",4 beds,4 baths,"2,550 sq ft","3120 Carter St #3120, Miami, FL 33133",N/A
Florida,N/A,N/A,N/A,N/A,N/A,N/A
Florida,"$389,000",2 beds,2.5 baths,"1,150 sq ft","120 SW 109th Ave #3, Sweetwater, FL 33174",N/A
Florida,"$750,000",4 beds,2 baths,"1,884 sq ft","561 NW 53rd St, Miami, FL 33127",N/A
Florida,"$645,990",5 beds,4 baths,"2,518 sq ft","22582 SW 124 Ct Unit A, Miami, FL 33170",N/A
Florida,"$950,000",4 beds,3 baths,"2,061 sq ft","1931 Coral Gate Dr, Miami, FL 33145",N/A
Florida,"$1,275,000",3 beds,3 baths,"1,572 sq ft","646 NE 83rd St, Miami, FL 33138",N/A
Florida,"$1,140,000",3 beds,2 baths,"1,470 sq ft","1155 Brickell Bay Dr #3002, Miami, FL 33131",N/A
Florida,"$220,000",2 beds,2 baths,945 sq ft,"8600 SW 109th Ave Unit 4-107, Miami, FL 33173",N/A
Florida,"$430,000",3 beds,2 baths,"1,224 sq ft","14734 SW 87th Ter, Miami, FL 33193",N/A
Florida,"$995,000",3 beds,2 baths,"2,240 sq ft","9728 SW 135th Ter, Miami, FL 33176",N/A
Florida,"$595,000",3 beds,2 baths,"1,194 sq ft","2160 NW 30th St, Miami, FL 33142",N/A
